sample_order,cluster_id,has_gc_parameters_apogee_vac,has_apogee_star_level,has_apogee_abundance_summary,has_gaia_edr3_profile,has_gaia_member_summary,has_hst_hugs_metadata,has_hst_pm_profile,has_rv_pm_velocity_profile,n_gaia_profile_rows,n_hst_pm_rows,n_velocity_profile_rows,n_apogee_star_rows,core_dynamics_complete,chemistry_available
1,NGC0104,1,1,1,1,1,1,1,1,101,28,86,302,1,1
2,NGC0288,1,1,1,1,1,1,1,1,101,5,18,43,1,1
3,NGC0362,1,1,1,1,1,1,1,1,101,19,40,70,1,1
4,NGC1261,0,0,0,1,1,1,1,1,101,20,29,0,1,0
5,NGC1851,1,1,1,1,1,1,1,1,101,20,48,71,1,1
6,NGC2298,1,1,1,1,1,1,1,1,101,6,11,12,1,1
7,NGC2808,1,1,1,1,1,1,1,1,101,24,47,132,1,1
8,NGC3201,1,1,1,1,1,1,1,1,101,6,38,217,1,1
9,NGC4590,1,1,1,1,1,1,1,1,101,5,12,41,1,1
10,NGC4833,0,0,0,1,1,1,1,1,101,12,22,0,1,0
11,NGC5024,1,1,1,1,1,1,1,1,101,17,28,41,1,1
12,NGC5053,1,1,1,1,1,1,1,1,101,5,3,17,1,1
13,NGC5272,1,1,1,1,1,1,1,1,101,17,35,299,1,1
14,NGC5466,1,1,1,1,1,1,1,1,101,5,6,17,1,1
15,NGC5897,0,0,0,1,1,1,1,1,101,5,12,0,1,0
16,NGC5904,1,1,1,1,1,1,1,1,101,19,44,259,1,1
17,NGC5927,0,0,0,1,1,1,1,1,101,17,31,0,1,0
18,NGC5986,0,0,0,1,1,1,1,1,101,17,26,0,1,0
19,NGC6093,1,1,1,1,1,1,1,1,101,13,14,3,1,1
20,NGC6101,0,0,0,1,1,1,1,1,101,8,11,0,1,0
21,NGC6121,1,1,1,1,1,1,1,1,101,6,36,224,1,1
22,NGC6144,1,1,1,1,1,1,1,1,101,5,7,1,1,1
23,NGC6171,1,1,1,1,1,1,1,1,101,6,17,65,1,1
24,NGC6205,1,1,1,1,1,1,1,1,101,21,32,152,1,1
25,NGC6218,1,1,1,1,1,1,1,1,101,11,34,107,1,1
26,NGC6254,1,1,1,1,1,1,1,1,101,16,36,87,1,1
27,NGC6304,1,1,1,1,1,1,1,1,101,8,14,34,1,1
28,NGC6341,1,1,1,1,1,1,1,1,101,22,33,80,1,1
29,NGC6352,0,0,0,1,1,1,1,1,101,6,11,0,1,0
30,NGC6362,0,0,0,1,1,1,1,1,101,10,27,0,1,0
31,NGC6366,0,0,0,1,1,1,1,1,101,3,12,0,1,0
32,NGC6397,1,1,1,1,1,1,1,1,101,7,19,187,1,1
