cluster_id,GradientStrength,Anisotropy,RotationSupport,ProfileCurvature,CentralEnhancement,OuterDisturbance,chemical_complexity,data_quality_score
NGC0104,0.260168335486306,0.0969487764336259,1.10811521442379,0.230372242015853,1.18969072164948,0.562324411706083,0.436883536324102,1.0
NGC0288,0.186427395868242,0.145775941230487,0.427607198394687,0.351503717819368,1.18198874296435,0.669354528870075,0.363888855425306,0.889139705019461
NGC0362,0.217863177014213,0.104880060238804,0.126728994186595,0.21757552137877,1.06695156695157,0.622231532137058,0.482361797855433,1.0
NGC1261,0.361929847869241,0.10098843209095,0.762991229171525,0.433520515686681,1.29555555555556,0.476673928456167,,1.0
NGC1851,0.362540107235352,0.102436202244544,0.337302366128765,0.215325691063415,1.46778711484594,0.45414383913358,0.709604624984645,1.0
NGC2298,0.33993556005075,0.392181942282205,0.618836137980274,0.66262034376018,1.30263157894737,0.521590965906764,0.628117010040285,0.910580143418936
NGC2808,0.271036627770466,0.11817493233494,0.125233471083571,0.336695335884797,1.32318710832587,0.54500735036695,0.630729850463257,1.0
NGC3201,0.130264181146246,0.116212277091907,0.249148877299482,0.240623216162617,1.1325,0.706257348351897,0.628149763212873,0.9306048591021
NGC4590,0.251439130718374,0.109511111111111,0.1587160107428,0.435797170329423,1.15919629057187,0.546400321549551,0.6324277393923,0.889139705019461
NGC4833,0.184248828583208,0.130162456747405,0.238174034496944,0.204667640691799,1.22379603399433,0.668249300635523,,1.0
NGC5024,0.312165620945304,0.207168324263464,0.646219942525442,0.424334373930236,1.26388888888889,0.539370338391384,0.501557065241009,1.0
NGC5053,0.416537091691607,0.0547845142439738,4.68557720361786,0.746057563954538,1.48979591836735,0.509899620187786,0.624433092993059,0.628716714841468
NGC5272,0.364852814831338,0.0951814396192744,0.932501571154197,0.489010985738575,1.24624624624625,0.501486180815942,0.547231354926131,1.0
NGC5466,0.341395275722842,0.117539026629936,2.01315552178286,0.63336193190807,1.39784946236559,0.580308565432198,0.517440355898382,0.74767439061061
NGC5897,0.254669350391266,0.334423305588585,0.314432539101733,0.422817928576077,1.23558484349259,0.596478627768127,,0.889139705019461
NGC5904,0.162710009314967,0.0591007635026866,0.941895320525194,0.137232664704149,1.06336489439184,0.705360880373381,0.580126425391735,1.0
NGC5927,0.143192249119528,0.120285374554102,0.194040999365154,0.209883870513246,1.13903743315508,0.723967647171523,,1.0
NGC5986,0.2777179884668,0.149029505438375,0.530225905520474,0.535274571482136,1.15182481751825,0.556931361514854,,1.0
NGC6093,0.303202180518451,0.133578576796804,1.03668746880436,0.425676868989041,1.34461152882206,0.521062640683139,0.225485565707748,1.0
NGC6101,0.159208082642176,0.0594929877070616,0.449687221504763,0.314120389945774,1.02046783625731,0.72935097162624,,0.978482042633557
NGC6121,0.183150371839164,0.115403228792661,0.0908607559271751,0.271999067850864,1.26799007444169,0.686494481087255,0.485083462060617,0.9306048591021
NGC6144,0.184682619590533,0.281541950113379,0.613490892624998,0.479892528579171,1.05571030640669,0.672941261111085,,0.777050425921356
NGC6171,0.154409140962164,0.112179238754325,0.151056376458387,0.338176909024577,1.0,0.688297014425964,0.472434231587386,0.9306048591021
NGC6205,0.23235994802025,0.103375362205341,0.223121917094082,0.257044237110287,1.16944801026958,0.634596372534482,0.612886281945375,1.0
NGC6218,0.217220653184555,0.118487654320988,0.281387845544432,0.39365766208568,1.22857142857143,0.642035675059669,0.452274016589055,1.0
NGC6254,0.204182041086615,0.134580511260367,0.160858739065649,0.316475591727918,1.12565445026178,0.656983802114669,0.686900898962023,1.0
NGC6304,0.108416338081973,0.144405994398409,0.25561117283103,0.333992516673632,0.997020854021847,0.781504086754004,0.459264116137936,1.0
NGC6341,0.253414222653518,0.187210281116375,0.702323212546756,0.215903164650892,1.11621233859397,0.564930924149425,0.664693859722546,1.0
NGC6352,0.154626762273987,0.103517386675613,0.177527880871005,0.552319007157247,1.0,0.707506403950052,,0.910580143418936
NGC6362,0.173468658721902,0.0664833894837703,0.24953925073838,0.372804429302025,1.13372093023256,0.677468477237758,,1.0
NGC6366,0.0491028418847927,0.137755102040817,0.14426723036949,0.253231202166281,1.04545454545455,0.857254077914906,,0.782542290036644
NGC6397,0.16535432860387,0.0549098339354597,0.0400688887447853,0.199519867182329,1.07370517928287,0.713176968853641,0.603871564473988,0.967168210133835
