cluster_id,hst_fit_flag,gaia_fit_flag,vel_fit_flag,n_problematic_profile_fits
NGC0104,valid_fit,valid_fit,valid_fit,0
NGC0288,boundary_or_extreme_fit,valid_fit,valid_fit,1
NGC0362,valid_fit,valid_fit,valid_fit,0
NGC1261,valid_fit,valid_fit,valid_fit,0
NGC1851,valid_fit,valid_fit,valid_fit,0
NGC2298,valid_fit,boundary_or_extreme_fit,valid_fit,1
NGC2808,valid_fit,valid_fit,valid_fit,0
NGC3201,insufficient_or_failed,valid_fit,valid_fit,1
NGC4590,insufficient_or_failed,valid_fit,valid_fit,1
NGC4833,valid_fit,valid_fit,valid_fit,0
NGC5024,valid_fit,valid_fit,valid_fit,0
NGC5053,valid_fit,valid_fit,insufficient_or_failed,1
NGC5272,valid_fit,valid_fit,valid_fit,0
NGC5466,valid_fit,valid_fit,boundary_or_extreme_fit,1
NGC5897,valid_fit,valid_fit,valid_fit,0
NGC5904,insufficient_or_failed,valid_fit,valid_fit,1
NGC5927,valid_fit,valid_fit,valid_fit,0
NGC5986,valid_fit,valid_fit,valid_fit,0
NGC6093,valid_fit,valid_fit,valid_fit,0
NGC6101,valid_fit,valid_fit,valid_fit,0
NGC6121,boundary_or_extreme_fit,valid_fit,valid_fit,1
NGC6144,valid_fit,valid_fit,insufficient_or_failed,1
NGC6171,valid_fit,valid_fit,valid_fit,0
NGC6205,valid_fit,valid_fit,valid_fit,0
NGC6218,valid_fit,valid_fit,valid_fit,0
NGC6254,valid_fit,valid_fit,valid_fit,0
NGC6304,insufficient_or_failed,valid_fit,valid_fit,1
NGC6341,valid_fit,valid_fit,valid_fit,0
NGC6352,valid_fit,insufficient_or_failed,insufficient_or_failed,2
NGC6362,boundary_or_extreme_fit,valid_fit,valid_fit,1
NGC6366,insufficient_or_failed,valid_fit,valid_fit,1
NGC6397,insufficient_or_failed,valid_fit,valid_fit,1
