cluster_id,mixture_class,P_relaxed,P_intermediate,P_disturbed,mixture_entropy
NGC0104,GMM_disturbed,0.0148610397211325,3.33066475327671e-43,0.985138960278867,0.0773003619538855
NGC0288,GMM_relaxed,0.999903515163218,2.31545570563944e-06,9.41693810759044e-05,0.0009995146002265
NGC0362,GMM_intermediate,0.114134383690849,0.885865616292179,1.6971745779131897e-11,0.355072904942606
NGC1261,GMM_disturbed,0.0022474128490706,1.2417926418667e-13,0.997752587150804,0.0159495541741475
NGC1851,GMM_intermediate,0.0191176378481198,0.97985075901403,0.0010316031378497,0.102690076827477
NGC2298,GMM_disturbed,0.001142505669578,1.6698805567331398e-78,0.99885749433042,0.0088817933776612
NGC2808,GMM_relaxed,0.895067170387764,0.104802708925647,0.000130120686588,0.336789140803346
NGC3201,GMM_intermediate,0.0936095618338315,0.906390438162077,4.09146774441937e-12,0.310810429044391
NGC4590,GMM_intermediate,0.120078842839535,0.879921155876854,1.2836112588085302e-09,0.367082078096837
NGC4833,GMM_intermediate,0.112443017712988,0.88755698173014,5.56871407762439e-10,0.351592780576627
NGC5024,GMM_disturbed,0.0346411098439077,5.0092865159929894e-92,0.965358890156091,0.150522206250768
NGC5053,GMM_disturbed,5.96925450546418e-22,7.7510337369115e-18,0.999999999999993,7.49584674885812e-15
NGC5272,GMM_disturbed,3.40568671948494e-06,1.44200223090189e-21,0.99999659431328,4.62834945432411e-05
NGC5466,GMM_disturbed,3.36363069459326e-11,1.61735144043931e-09,0.999999998349011,3.52013397990151e-08
NGC5897,GMM_relaxed,0.996109735117422,7.932396465713479e-28,0.0038902648825765,0.0254708494159313
NGC5904,GMM_intermediate,0.111094515101567,0.888905467538821,1.73596117501339e-08,0.348797909533192
NGC5927,GMM_intermediate,0.1538987980014,0.846101201997247,1.3529532847746599e-12,0.429412756348212
NGC5986,GMM_disturbed,0.120973602614477,7.67682481771115e-56,0.879026397385522,0.368860348757253
NGC6093,GMM_disturbed,4.09321007813527e-05,1.64331142172545e-65,0.999959067899216,0.0004544926704295
NGC6101,GMM_relaxed,0.999999999999999,1.1894454238011099e-27,1.63619891002776e-18,8.36130703669173e-16
NGC6121,GMM_relaxed,0.999999999999994,1.1876183974436001e-21,5.15085853075255e-15,1.75789566269978e-13
NGC6144,GMM_disturbed,0.477305357352412,3.3700708360361203e-74,0.522694642647586,0.692116732960732
NGC6171,GMM_intermediate,0.0555349714098184,0.944465028589942,2.40052763891868e-13,0.21450083186908
NGC6205,GMM_intermediate,0.432526060916565,0.567473936983482,2.0999527593629202e-09,0.684013918721036
NGC6218,GMM_intermediate,0.0806946183413346,0.919305019689778,3.61968887240094e-07,0.280468301753109
NGC6254,GMM_intermediate,0.282769860001931,0.717230135129754,4.86831535903409e-09,0.595550450335524
NGC6304,GMM_intermediate,0.0668581826454691,0.933141817354043,4.882016344585339e-13,0.24543515398132
NGC6341,GMM_disturbed,0.125210961410678,1.22388299226687e-102,0.874789038589321,0.377180469854419
NGC6352,GMM_intermediate,0.243456288096989,0.756543711899331,3.67973928680098e-12,0.555031280820162
NGC6362,GMM_relaxed,0.999999999999988,3.9540922987995e-15,7.098812707894951e-15,3.74284149725801e-13
NGC6366,GMM_relaxed,0.999999997039844,2.9601503298047303e-09,7.250779882442251e-20,6.10916645051148e-08
NGC6397,GMM_relaxed,0.999999999999998,6.07628125892675e-60,8.34819652050827e-27,1.6653345372386302e-15
