cluster_id,DSI_stability_raw,DSI_stability_BC,DSI_stability_err,DSI_stability_bias,theta_raw,theta_BC,theta_err,theta_bias,theta_bayes_BC,theta_bayes_err,DSI_bayesLoad_BC,DSI_bayesLoad_err
NGC0104,0.722330161095432,0.710188749698188,0.120932692268487,0.0121414113972447,0.939330044056486,0.87399335779856,0.141837377806873,0.0653366862579258,0.569507323949958,0.179773977636611,0.608276487093305,0.118420022471163
NGC0288,0.0705090370085175,-0.0240980815445555,0.422886826814232,0.094607118553073,0.132118864191002,-0.0241557249195068,0.525522892923835,0.156274589110509,-0.24212010077037,0.455339765522442,0.0509787618946401,0.29649786739733
NGC0362,-0.433638838689407,-0.545198049854806,0.146510666547549,0.1115592111654,-0.418272931105642,-0.629770234293678,0.202469731501808,0.211497303188036,-0.236269847938674,0.224034358590387,-0.606563409025883,0.143950357521223
NGC1261,1.12747662330066,0.859883893399989,0.744424589989044,0.267592729900669,1.27389299239576,0.867994918434611,0.73478831354283,0.405898073961151,1.32167235772287,0.378165663070046,0.314012176222466,0.550790799469838
NGC1851,0.798921905685113,0.528379902249421,0.385709445147287,0.270542003435692,0.803739930072986,0.385011498508718,0.412234730599084,0.418728431564268,1.51875229487862,0.324953419679501,-0.105592057660083,0.323782726276665
NGC2298,1.25522456877103,1.05329195773252,0.661534458199475,0.20193261103851,1.56666354659694,1.31556299424336,0.65144324409519,0.251100552353577,1.14082432345323,0.409707037943937,0.813536006086562,0.491970172269989
NGC2808,0.236134014445739,0.139337726967927,0.201334741056067,0.0967962874778118,0.24522540196244,0.0739132360611437,0.239693594337432,0.171312165901297,0.614971318635829,0.24363265111587,-0.194714802397363,0.169707576788034
NGC3201,-0.476299926628517,-0.514955141096266,0.135503322625328,0.0386552144677489,-0.499183332042531,-0.627210977741756,0.205521591607054,0.128027645699225,-1.01902083127382,0.216214149947923,-0.36570950148306,0.151088903649044
NGC4590,0.0299590188807883,-0.24459405883158,0.405546669147417,0.274553077712369,0.142530662303326,-0.354004510608027,0.458621589787489,0.496535172911353,0.303133691738585,0.381416545515323,-0.63676919893698,0.273227213508325
NGC4833,-0.191029814470774,-0.261029312258608,0.215689110378801,0.0699994977878333,-0.229180680715122,-0.378481569454225,0.241066076988273,0.149300888739102,-0.487331494263138,0.240743544587664,-0.223781529097652,0.178606763998856
NGC5024,0.882537093408831,0.644834183843966,0.640614545239948,0.237702909564865,1.19295899719701,0.96458256696933,0.695384349337837,0.228376430227681,0.796486542073674,0.409752824036195,0.536190785750528,0.469692859947785
NGC5053,2.27316263698614,2.23075144228694,0.629081482095703,0.0424111946991963,2.16092006975811,1.86863323238411,0.61310637763948,0.292286837373999,1.76698312808896,0.493408877511174,1.30644818562813,0.331581614517861
NGC5272,1.27809702662397,1.22276814960297,0.499480162856427,0.0553288770210048,1.41841157961684,1.25375632309348,0.514146539236521,0.164655256523362,1.23546103057283,0.321360243930794,0.761600672882893,0.360564935119472
NGC5466,1.81440204649406,1.6494333865575,0.635758528622505,0.164968659936561,1.83999662109635,1.54452172639576,0.593666504799707,0.295474894700593,1.13211625428378,0.460349253302041,1.26256933757786,0.378115996268021
NGC5897,0.377091537896743,-0.1535344591361,0.589061301813476,0.530625997032844,0.604846159149172,-0.0103179574335923,0.66793706944897,0.615164116582764,0.342409311806989,0.481099272088197,-0.217839417495514,0.474348285863657
NGC5904,-0.0007799680305442,-0.0419371791855148,0.167044895416991,0.0411572111549705,-0.015374296419501,-0.181927018421487,0.231166044421191,0.166552722001986,-0.743153489961665,0.228386981655162,0.087907437715451,0.175526149019217
NGC5927,-0.478006052987241,-0.534293697235888,0.159188527216999,0.0562876442486474,-0.565902547178831,-0.665104770896277,0.209779988384301,0.0992022237174457,-0.962712250567967,0.228921308576548,-0.337775333991895,0.144603737057595
NGC5986,0.56733079231241,0.466029585424958,0.48458314447998,0.101301206887452,0.79728155549982,0.688303704403094,0.537539498294279,0.108977851096726,0.474078309500617,0.353853427414349,0.316738882709071,0.365615186921938
NGC6093,1.25230042445859,1.28061380456179,0.348800479969408,-0.0283133801032021,1.49302962327626,1.49151530381263,0.41471077485837,0.0015143194636357,1.14362449531573,0.299340753624003,0.992333880851088,0.32362644196783
NGC6101,-0.306721792280775,-0.458076383270686,0.268829860187819,0.151354590989911,-0.44339569204604,-0.831448290934912,0.355664923282677,0.388052598888872,-0.925151074842321,0.302331323714559,-0.457977762360224,0.245105273867841
NGC6121,-0.180353636351017,-0.236289815622353,0.164342343474418,0.0559361792713353,-0.341559008719848,-0.58994905390483,0.163095885362562,0.248390045184982,-0.566524022054535,0.214056029484274,-0.355053044006994,0.125358191501653
NGC6144,0.196468395904772,-0.0363121050021494,0.428178106645276,0.232780500906921,0.519751521970114,0.267874145661322,0.512794699970512,0.251877376308792,-0.372990700279551,0.391079633325283,0.263099321801757,0.31731748570766
NGC6171,-0.589448224179283,-0.755944583466771,0.255003403820879,0.166496359287488,-0.564269279188868,-0.837140340536229,0.34546294232783,0.272871061347361,-0.842372167498621,0.317245705032023,-0.650751293105171,0.21535332567347
NGC6205,-0.0887371793386966,-0.13335676227216,0.181066504730438,0.0446195829334634,-0.155184793874894,-0.302095404652491,0.231741399228992,0.146910610777597,-0.0647197812665728,0.22173794714338,-0.251182087682841,0.170457488037242
NGC6218,0.14362220659475,0.0933363984505849,0.178025930255547,0.050285808144165,0.10528210314378,-0.0373426915475077,0.243700271193257,0.142624794691288,-0.0823685087024308,0.270119773290331,-0.0194135295199676,0.161027140638555
NGC6254,-0.225765244177179,-0.302373768951278,0.16395579029554,0.0766085247740995,-0.218124747213796,-0.382424891521099,0.23831467884892,0.164300144307303,-0.343702864036236,0.246332123154703,-0.303173618790131,0.147207851660894
NGC6304,-0.599878250162889,-0.652773359375024,0.180594933033098,0.0528951092121355,-0.615442845409069,-0.75273131201765,0.257147679538371,0.137288466608581,-1.4020987064476,0.253629614901034,-0.286611582958923,0.170002228385916
NGC6341,0.273986275120447,0.246518558872718,0.204196952036682,0.0274677162477292,0.647246104959304,0.612353342323278,0.221351867562737,0.034892762636026,0.414129516112042,0.255676483663253,0.354774380940558,0.159991188165954
NGC6352,-0.343109112135829,-0.471446123399921,0.341525561696665,0.128337011264092,-0.363197467360172,-0.613533308062006,0.400481604817048,0.250335840701834,-0.916099499974223,0.317498313358442,-0.41734138601478,0.254950664147394
NGC6362,-0.223747437667452,-0.324536292030197,0.246424628339334,0.100788854362745,-0.351660592804632,-0.635697114412999,0.326667462630654,0.284036521608368,-0.565412109286836,0.283824552921057,-0.466101453582819,0.200641891414804
NGC6366,-0.878293898352235,-0.984032404972452,0.164144698381536,0.105738506620217,-1.04214313476682,-1.22681953466869,0.255923725079517,0.184676399901868,-2.09336247912194,0.239740187629394,-0.495274461710126,0.179723170501756
NGC6397,-0.679304423428313,-0.758935006029524,0.136695866030927,0.0796305826012119,-0.922229616427901,-1.24303900461641,0.234526940847808,0.320809388188505,-0.878030349531423,0.206371947962195,-0.8674761421877,0.177646237186717
